"日期","收盘","开盘","高","低","交易量","百分比变化"
"2018年11月","69.64","74.73","74.97","69.15","673.04K","-7.72%"
"2018年10月","75.47","82.79","86.74","75.09","6.90M","-8.76%"
"2018年9月","82.72","77.69","82.87","75.64","4.69M","6.85%"
"2018年8月","77.42","74.07","78.03","70.30","4.73M","4.27%"
"2018年7月","74.25","78.55","79.51","71.19","5.56M","-6.53%"
"2018年6月","79.44","77.71","79.70","72.45","5.97M","2.38%"
"2018年5月","77.59","74.65","80.50","72.38","6.37M","3.22%"
"2018年4月","75.17","69.32","75.47","66.69","6.23M","6.97%"
"2018年3月","70.27","64.57","71.05","63.19","5.34M","6.83%"
"2018年2月","65.78","69.00","70.02","61.76","5.66M","-4.74%"
"2018年1月","69.05","66.55","71.28","66.24","5.48M","3.26%"
"2017年12月","66.87","62.74","67.10","61.13","4.86M","5.19%"
"2017年11月","63.57","61.07","64.65","60.00","6.25M","3.58%"
"2017年10月","61.37","56.73","61.41","55.06","6.77M","6.66%"
"2017年9月","57.54","52.84","59.49","51.99","5.05M","9.85%"
"2017年8月","52.38","52.70","53.64","50.00","6.33M","-0.51%"
"2017年7月","52.65","48.95","52.92","46.11","5.44M","9.87%"
"2017年6月","47.92","51.17","51.45","44.35","6.85M","-4.75%"
"2017年5月","50.31","51.88","54.67","46.64","7.34M","-2.75%"
"2017年4月","51.73","53.62","56.65","50.45","5.47M","-2.08%"
"2017年3月","52.83","56.45","57.05","49.71","6.24M","-4.96%"
"2017年2月","55.59","55.55","57.45","54.44","5.08M","-0.20%"
"2017年1月","55.70","57.05","58.37","53.58","5.55M","-1.97%"
"2016年12月","56.82","51.72","57.89","51.51","5.16M","12.58%"
"2016年11月","50.47","48.72","50.49","43.57","6.24M","4.49%"
"2016年10月","48.30","50.02","53.73","47.98","5.41M","-1.55%"
"2016年9月","49.06","46.98","50.14","45.09","5.44M","4.29%"
"2016年8月","47.04","43.11","51.22","41.51","5.62M","10.79%"
"2016年7月","42.46","49.90","50.75","41.80","4.89M","-14.53%"
"2016年6月","49.68","49.65","52.86","46.69","5.06M","-0.02%"
"2016年5月","49.69","47.37","50.51","43.33","5.50M","3.24%"
"2016年4月","48.13","40.14","48.50","37.27","5.67M","21.54%"
"2016年3月","39.60","36.60","42.54","35.95","5.29M","10.09%"
"2016年2月","35.97","35.85","37.00","29.92","6.11M","3.54%"
"2016年1月","34.74","37.85","38.99","27.10","5.13M","-6.81%"
"2015年12月","37.28","44.62","45.18","35.98","4.34M","-16.43%"
"2015年11月","44.61","49.50","50.91","43.15","4.64M","-9.99%"
"2015年10月","49.56","48.40","54.05","46.41","4.60M","2.46%"
"2015年9月","48.37","52.92","53.47","45.98","4.49M","-10.67%"
"2015年8月","54.15","51.55","54.32","42.23","5.04M","3.72%"
"2015年7月","52.21","63.02","63.35","51.63","4.72M","-17.90%"
"2015年6月","63.59","65.59","66.36","60.94","4.82M","-3.00%"
"2015年5月","65.56","66.78","69.63","61.24","4.28M","-1.83%"
"2015年4月","66.78","55.18","66.93","54.00","4.36M","21.18%"
"2015年3月","55.11","62.50","62.50","52.50","4.58M","-11.94%"
"2015年2月","62.58","52.68","63.00","51.41","5.13M","18.10%"
"2015年1月","52.99","58.02","58.54","45.19","5.06M","-7.57%"
"2014年12月","57.33","70.15","73.03","55.81","4.14M","-18.28%"
"2014年11月","70.15","85.85","86.40","69.78","4.42M","-18.30%"
"2014年10月","85.86","94.77","96.23","82.60","4.87M","-9.31%"
"2014年9月","94.67","102.95","103.30","94.24","3.92M","-8.26%"
"2014年8月","103.19","105.60","106.85","101.07","3.40M","-2.67%"
"2014年7月","106.02","112.50","112.83","104.39","4.16M","-5.64%"
"2014年6月","112.36","109.70","115.71","107.77","3.92M","2.70%"
"2014年5月","109.41","108.08","111.04","106.85","3.57M","1.24%"
"2014年4月","108.07","107.66","110.65","103.95","3.72M","0.29%"
"2014年3月","107.76","109.44","112.39","105.41","3.53M","-1.20%"
"2014年2月","109.07","106.40","110.82","105.40","3.28M","2.51%"
"2014年1月","106.40","111.00","111.35","105.44","3.92M","-3.97%"